City_ID,City,Country,Max Temp,Current Description,Latitude,Longitude,Hotel Name
138,san cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
139,moyale,KE,76.77,overcast clouds,3.5167,39.0584,La Tahzan Guest House
140,mogadishu,SO,79.72,broken clouds,2.0371,45.3438,Hotel Juba
141,nueve de julio,AR,84.78,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
142,panalingaan,PH,76.44,scattered clouds,8.7842,117.4231,I Love Panalingaan View Deck
143,bambanglipuro,ID,76.78,overcast clouds,-7.95,110.2833,Puri Brata
144,dosso,NE,87.49,few clouds,13.049,3.1937,Hotel Toubal
145,kilindoni,TZ,83.16,overcast clouds,-7.9139,39.6668,Bustani B&B
146,macapa,BR,85.98,broken clouds,0.0389,-51.0664,Atalanta Hotel
147,grand gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
148,tres arroyos,AR,86.31,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
149,angoche,MZ,82.8,light rain,-16.2325,39.9086,Guest House HESADA
150,hoima,UG,75.07,broken clouds,1.4356,31.3436,Tik Hotel
151,emerald,AU,80.35,few clouds,-23.5333,148.1667,The Irish Village
152,caravelas,BR,85.71,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
153,puerto escondido,MX,82.9,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
154,saint-pierre,RE,81.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
155,tomatlan,MX,78.01,scattered clouds,19.9333,-105.25,El Salvial
156,maxixe,MZ,81.18,broken clouds,-23.8597,35.3472,Oceano
157,jibuti,DJ,76.42,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
158,rio grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
159,dzilam gonzalez,MX,78.03,clear sky,21.2833,-88.9333,posadas
160,boende,CD,81.46,overcast clouds,-0.2167,20.8667,
161,thongwa,MM,78.96,clear sky,16.7619,96.5278,U Poe Sann
162,black river,JM,83.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
163,ati,TD,83.66,scattered clouds,13.2154,18.3353,
164,kualakapuas,ID,80.76,overcast clouds,-3.0091,114.3876,Guest House Izonk
165,frei paulo,BR,84.97,overcast clouds,-10.5494,-37.5344,Restaurante e Pousada Nossa Senhora De Fátima
166,richards bay,ZA,78.66,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
167,inongo,CD,78.22,overcast clouds,-1.95,18.2667,Hotel Du Lac
168,thinadhoo,MV,81.57,overcast clouds,0.5333,72.9333,
169,kirakira,SB,78.17,light rain,-10.4544,161.9205,SanBiz Lodge
170,namatanai,PG,78.49,light rain,-3.6667,152.4333,Seagulls Inn Namatani
171,kudahuvadhoo,MV,82.17,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
172,taoudenni,ML,77.09,clear sky,22.6783,-3.9836,
173,cienfuegos,CU,80.74,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
174,isiro,CD,77.22,broken clouds,2.7739,27.616,Guest House Hewa Bora
175,cap malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
176,sidrolandia,BR,86.79,overcast clouds,-20.9319,-54.9614,Agropet São Francisco
177,aketi,CD,84.9,scattered clouds,2.7388,23.7833,
178,mackay,AU,83.68,clear sky,-21.15,149.2,International Lodge Motel
179,maridi,SS,81.07,overcast clouds,4.9158,29.4742,
180,puerto quijarro,BO,83.73,overcast clouds,-17.7833,-57.7667,Hotel palance
181,manakara,MG,76.33,moderate rain,-22.1333,48.0167,La Residence Manakara
182,cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
183,quelimane,MZ,80.62,light rain,-17.8786,36.8883,Hotel Flamingo
184,aripuana,BR,80.56,overcast clouds,-9.1667,-60.6333,
185,sao miguel do araguaia,BR,81.32,light rain,-13.275,-50.1628,Hotel Executivo Palace
186,mahibadhoo,MV,81.99,overcast clouds,3.7833,72.9667,Omadhoo Inn
187,auki,SB,78.93,overcast clouds,-8.7676,160.7034,Auki Motel
188,umm lajj,SA,75.76,clear sky,25.0213,37.2685,Moon light Furnished Units
189,waingapu,ID,75.92,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
190,grand-lahou,CI,85.24,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
191,zvishavane,ZW,79.21,overcast clouds,-20.3267,30.0665,Hotel Boutique Runde
192,lazaro cardenas,MX,80.24,clear sky,17.9583,-102.2,quinta antigua
193,gizo,SB,82.18,moderate rain,-8.103,156.8419,Imagination Island
194,sinnamary,GF,79.63,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
195,lufilufi,WS,76.78,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
