City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
68,puerto ayora,EC,2021-12-29 19:52:31,-0.7393,-90.3518,78.76,85,95,5.01
69,lorengau,PG,2021-12-29 19:52:32,-2.0226,147.2712,81.54,79,100,8.55
70,tasiilaq,GL,2021-12-29 19:52:32,65.6145,-37.6368,2.08,61,0,4.52
71,lokosovo,RU,2021-12-29 19:52:33,61.1333,74.8167,-5.55,96,100,9.22
72,praia,CV,2021-12-29 19:52:33,14.9215,-23.5087,82.94,30,0,12.66
73,luderitz,NA,2021-12-29 19:52:34,-26.6481,15.1594,64.76,76,0,18.43
74,kapaa,US,2021-12-29 19:50:46,22.0752,-159.319,76.12,80,90,3.0
75,la ronge,CA,2021-12-29 19:52:34,55.1001,-105.2842,-21.75,69,40,6.91
76,roblin,CA,2021-12-29 19:52:35,51.23,-101.3565,-19.37,95,100,10.69
77,tilichiki,RU,2021-12-29 19:52:35,60.4667,166.1,-0.22,95,94,11.72
78,lebu,CL,2021-12-29 19:52:36,-37.6167,-73.65,63.16,78,44,8.08
79,cayenne,GF,2021-12-29 19:49:42,4.9333,-52.3333,80.64,90,75,5.99
80,troitsko-pechorsk,RU,2021-12-29 19:52:37,62.7084,56.1964,-3.24,98,100,5.14
81,arlit,NE,2021-12-29 19:52:37,18.7369,7.3853,66.94,22,3,8.84
82,xining,CN,2021-12-29 19:52:37,36.6167,101.7667,19.2,44,100,0.83
83,ixtapa,MX,2021-12-29 19:52:38,20.7,-105.2,85.05,49,76,7.96
84,naryan-mar,RU,2021-12-29 19:52:38,67.6713,53.087,-2.54,97,98,10.45
85,banda aceh,ID,2021-12-29 19:52:39,5.5577,95.3222,78.24,85,41,11.83
86,port alfred,ZA,2021-12-29 19:52:39,-33.5906,26.891,66.13,72,88,6.49
87,rusape,ZW,2021-12-29 19:52:40,-18.5278,32.1284,63.99,95,100,4.38
88,dikson,RU,2021-12-29 19:52:40,73.5069,80.5464,-7.64,94,100,7.09
89,mongo,TD,2021-12-29 19:52:41,12.1844,18.693,77.5,20,87,5.86
90,bathsheba,BB,2021-12-29 19:52:41,13.2167,-59.5167,84.81,58,40,18.41
91,coahuayana,MX,2021-12-29 19:52:42,18.7333,-103.6833,86.83,48,8,7.36
92,new norfolk,AU,2021-12-29 19:48:40,-42.7826,147.0587,56.75,73,100,1.83
93,byron bay,AU,2021-12-29 19:51:14,-28.65,153.6167,72.05,74,62,10.36
94,havelock,US,2021-12-29 19:52:47,34.8791,-76.9013,80.55,75,1,11.01
95,clyde river,CA,2021-12-29 19:51:53,70.4692,-68.5914,-18.17,83,100,3.44
96,atuona,PF,2021-12-29 19:52:21,-9.8,-139.0333,79.09,76,22,20.6
97,lichuan,CN,2021-12-29 19:52:49,30.3,108.85,34.84,93,97,0.49
98,pringsewu,ID,2021-12-29 19:52:49,-5.3582,104.9744,73.6,95,97,2.71
99,yellowknife,CA,2021-12-29 19:48:14,62.456,-114.3525,-35.88,67,20,3.44
100,tautira,PF,2021-12-29 19:52:50,-17.7333,-149.15,87.82,73,100,14.85
101,hilo,US,2021-12-29 19:52:50,19.7297,-155.09,78.12,59,20,0.0
102,nelson bay,AU,2021-12-29 19:52:51,-32.7167,152.15,63.95,96,14,3.47
103,kavieng,PG,2021-12-29 19:52:52,-2.5744,150.7967,82.83,76,83,8.43
104,dingle,PH,2021-12-29 19:52:52,10.9995,122.6711,73.89,90,99,11.03
105,palana,RU,2021-12-29 19:52:52,59.1167,159.9667,5.18,91,100,3.44
106,bijapur,IN,2021-12-29 19:52:53,16.8333,75.7,72.18,49,85,10.4
107,igualada,ES,2021-12-29 19:52:53,41.581,1.6172,61.63,82,88,1.01
108,luancheng,CN,2021-12-29 19:52:54,37.8792,114.6517,21.36,52,0,3.42
109,san patricio,US,2021-12-29 19:52:54,28.017,-97.5169,81.01,46,99,5.77
110,hokitika,NZ,2021-12-29 19:52:55,-42.7167,170.9667,59.02,75,100,4.9
111,nikolskoye,RU,2021-12-29 19:52:55,59.7035,30.7861,19.4,89,100,8.68
112,baruun-urt,MN,2021-12-29 19:52:56,46.6806,113.2792,-2.63,87,8,6.58
113,peterhead,GB,2021-12-29 19:52:56,57.5058,-1.7981,48.6,75,100,20.4
114,lufkin,US,2021-12-29 19:52:58,31.3382,-94.7291,80.71,65,75,10.36
115,cockburn town,TC,2021-12-29 19:52:58,21.4612,-71.1419,82.36,57,40,9.22
116,chadiza,ZM,2021-12-29 19:52:59,-14.0678,32.4392,77.41,40,45,3.65
117,abonnema,NG,2021-12-29 19:52:59,4.7084,6.7931,79.39,79,100,7.72
118,avarua,CK,2021-12-29 19:53:00,-21.2078,-159.775,80.65,78,40,17.27
119,kaitangata,NZ,2021-12-29 19:53:00,-46.2817,169.8464,59.94,70,98,9.17
120,mantua,IT,2021-12-29 19:53:01,45.1667,10.7833,44.82,91,5,3.0
121,alice springs,AU,2021-12-29 19:53:01,-23.7,133.8833,65.75,32,78,2.3
122,gambela,ET,2021-12-29 19:53:02,8.25,34.5833,81.3,59,99,2.59
123,orsha,BY,2021-12-29 19:53:02,54.5153,30.4053,9.95,97,100,4.9
124,victoria,HK,2021-12-29 19:49:56,22.2855,114.1577,65.25,84,0,4.0
125,souillac,MU,2021-12-29 19:53:03,-20.5167,57.5167,77.38,78,75,11.5
126,hanzhong,CN,2021-12-29 19:53:04,33.0728,107.0303,38.41,57,100,0.58
127,shahr-e babak,IR,2021-12-29 19:53:04,30.1165,55.1186,44.26,69,99,10.58
128,urucara,BR,2021-12-29 19:53:05,-2.5364,-57.76,87.66,67,100,0.58
129,portland,US,2021-12-29 19:48:09,45.5234,-122.6762,34.45,76,75,1.99
130,corner brook,CA,2021-12-29 19:53:05,48.9667,-57.9484,35.76,97,39,1.95
131,sistranda,NO,2021-12-29 19:53:06,63.7256,8.834,39.9,75,100,12.21
132,krzeszowice,PL,2021-12-29 19:53:06,50.1425,19.6322,36.0,97,100,3.96
133,mercedes,AR,2021-12-29 19:53:07,-34.6515,-59.4307,102.85,9,84,11.83
134,prince rupert,CA,2021-12-29 19:53:07,54.3161,-130.3201,28.09,73,90,9.22
135,dwarka,IN,2021-12-29 19:53:07,22.2394,68.9678,68.79,53,6,12.97
136,omboue,GA,2021-12-29 19:53:08,-1.5746,9.2618,74.77,93,92,4.92
137,tuatapere,NZ,2021-12-29 19:53:08,-46.1333,167.6833,56.82,83,99,6.04
138,salalah,OM,2021-12-29 19:53:09,17.0151,54.0924,70.97,78,14,2.77
