City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,souillac,MU,-20.5167,57.5167,80.37,83,40,6.91,scattered clouds
83,cap-aux-meules,CA,47.3821,-61.8597,28.45,93,90,11.5,overcast clouds
84,longyearbyen,SJ,78.2186,15.6401,6.64,85,90,12.66,light snow
85,la ronge,CA,55.1001,-105.2842,-25.08,96,99,7.78,overcast clouds
86,barrow,US,71.2906,-156.7887,12.22,79,90,17.27,overcast clouds
87,santa ana de yusguare,HN,13.3006,-87.1139,87.69,55,1,16.11,clear sky
88,turka,UA,49.1541,23.0297,40.26,98,100,4.38,light rain
89,ahipara,NZ,-35.1667,173.1667,63.73,90,95,8.28,overcast clouds
90,college,US,64.8569,-147.8028,-32.91,74,1,0.0,clear sky
91,noumea,NC,-22.2763,166.4572,81.0,99,70,9.6,broken clouds
92,sambava,MG,-14.2667,50.1667,78.78,85,100,0.63,moderate rain
93,nacogdoches,US,31.6002,-94.6335,61.57,93,90,4.61,mist
94,mwaya,TZ,-9.55,33.95,79.7,70,100,3.33,light rain
95,pevek,RU,69.7008,170.3133,1.56,96,30,1.52,scattered clouds
96,porto novo,BJ,6.4965,2.6036,87.31,47,55,9.51,broken clouds
97,hamilton,US,39.1834,-84.5333,46.35,63,40,5.99,scattered clouds
98,kihei,US,20.785,-156.4656,73.85,91,40,6.91,scattered clouds
99,thompson,CA,55.7435,-97.8558,-22.07,97,76,4.97,broken clouds
100,tucupita,VE,9.0622,-62.051,84.2,52,9,4.97,clear sky
101,castro,BR,-24.7911,-50.0119,82.11,46,20,10.58,few clouds
102,georgetown,MY,5.4112,100.3354,82.89,74,20,1.01,few clouds
103,carnarvon,AU,-24.8667,113.6333,82.76,56,2,17.63,clear sky
104,lima,PE,-12.0432,-77.0282,70.14,82,63,8.95,broken clouds
105,nicoya,CR,10.1483,-85.452,85.55,46,4,9.8,clear sky
106,huarmey,PE,-10.0681,-78.1522,73.99,77,21,9.44,few clouds
107,antigonish,CA,45.6169,-61.9986,35.15,82,90,7.0,overcast clouds
108,zhicheng,CN,30.2956,111.5047,42.28,72,100,5.08,overcast clouds
109,broken hill,AU,-31.95,141.4333,61.09,75,0,16.53,clear sky
110,marsh harbour,BS,26.5412,-77.0636,73.54,71,0,7.05,clear sky
111,miyazu,JP,35.5333,135.1833,35.15,82,100,1.25,overcast clouds
112,luderitz,NA,-26.6481,15.1594,71.31,56,0,25.19,clear sky
113,ostersund,SE,63.1792,14.6357,18.05,100,20,3.44,few clouds
114,wewak,PG,-3.5534,143.6268,78.71,87,98,12.57,overcast clouds
115,bantou,CN,26.2151,117.4893,57.49,91,92,3.74,overcast clouds
116,hermanus,ZA,-34.4187,19.2345,76.89,61,35,18.07,scattered clouds
117,plattsburgh,US,44.6995,-73.4529,39.67,63,1,1.01,clear sky
118,bardiyah,LY,31.7561,25.0865,61.03,60,0,7.76,clear sky
119,bambous virieux,MU,-20.3428,57.7575,80.22,83,40,6.91,scattered clouds
120,qaanaaq,GL,77.484,-69.3632,-2.36,57,0,8.25,clear sky
121,hualmay,PE,-11.0964,-77.6139,74.21,74,67,9.73,broken clouds
